iter	Passed	Remaining
0	1	158
1	2	142
2	4	137
3	5	129
4	6	129
5	8	131
6	9	130
7	11	128
8	12	127
9	14	126
10	15	125
11	16	124
12	18	122
13	19	121
14	21	120
15	22	119
16	24	117
17	25	116
18	26	114
19	28	112
20	29	111
21	31	109
22	32	107
23	33	106
24	34	104
25	36	103
26	38	102
27	39	101
28	40	100
29	42	99
30	43	97
31	45	96
32	46	95
33	48	93
34	49	91
35	51	90
36	52	89
37	54	88
38	55	86
39	56	85
40	58	83
41	59	81
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	68	74
48	69	72
49	71	71
50	72	70
51	74	68
52	75	67
53	77	65
54	78	64
55	80	62
56	81	61
57	83	60
58	84	58
59	86	57
60	87	56
61	89	54
62	90	53
63	92	51
64	94	50
65	95	49
66	97	47
67	98	46
68	100	45
69	101	43
70	103	42
71	104	40
72	106	39
73	108	37
74	109	36
75	110	35
76	112	33
77	113	32
78	115	30
79	116	29
80	118	27
81	119	26
82	121	24
83	122	23
84	123	21
85	125	20
86	126	18
87	128	17
88	129	15
89	130	14
90	132	13
91	133	11
92	134	10
93	136	8
94	137	7
95	138	5
96	140	4
97	141	2
98	142	1
99	143	0
